
# Surface 0 of 1 surfaces

# Curve title: "'outputs/function.dat' using 1:2:3"

# Contour 0, label:        0
 8.52137 -1.25 -80 
 8.39512 -1.34956 -80 
 8.33131 -1.4 -80 
 8.26463 -1.4519 -80 
 8.1389 -1.55 -80 
 8.13415 -1.55365 -80 
 8.00366 -1.65363 -80 
 7.94325 -1.7 -80 
 7.87317 -1.753 -80 
 7.74518 -1.85 -80 
 7.74268 -1.85187 -80 
 7.6122 -1.94897 -80 
 7.54376 -2 -80 

 14.6585  6.36175 -80 
 14.628  6.25 -80 
 14.5824  6.1 -80 
 14.5327  5.95 -80 
 14.528  5.93728 -80 
 14.4783  5.8 -80 
 14.4201  5.65 -80 
 14.3976  5.59568 -80 
 14.3579  5.5 -80 
 14.292  5.35 -80 
 14.2671  5.29654 -80 
 14.2222  5.2 -80 
 14.1491  5.05 -80 
 14.1366  5.02556 -80 
 14.0723  4.9 -80 
 14.0061  4.7759 -80 
 13.9923  4.75 -80 
 13.9088  4.6 -80 
 13.8756  4.54257 -80 
 13.8222  4.45 -80 
 13.7451  4.32103 -80 
 13.7326  4.3 -80 
 13.6397  4.15 -80 
 13.6146  4.11089 -80 
 13.5438  4 -80 
 13.4841  3.90955 -80 
 13.445  3.85 -80 
 13.3537  3.71515 -80 
 13.3434  3.7 -80 
 13.2388  3.55 -80 
 13.2232  3.52819 -80 
 13.1313  3.4 -80 
 13.0927  3.34744 -80 
 13.0212  3.25 -80 
 12.9622  3.17172 -80 
 12.9083  3.1 -80 
 12.8317  3.00067 -80 
 12.7927  2.95 -80 
 12.7012  2.83393 -80 
 12.6745  2.8 -80 
 12.5707  2.6712 -80 
 12.5537  2.65 -80 
 12.4402  2.51221 -80 
 12.4302  2.5 -80 
 12.3098  2.35668 -80 
 12.3041  2.35 -80 
 12.1793  2.20441 -80 
 12.1755  2.2 -80 
 12.0488  2.05516 -80 
 12.0443  2.05 -80 
 11.9183  1.90876 -80 
 11.9105  1.9 -80 
 11.7878  1.76502 -80 
 11.7742  1.75 -80 
 11.6573  1.62377 -80 
 11.6354  1.6 -80 
 11.5268  1.48488 -80 
 11.494  1.45 -80 
 11.3963  1.3482 -80 
 11.3502  1.3 -80 
 11.2659  1.21359 -80 
 11.2039  1.15 -80 
 11.1354  1.08096 -80 
 11.0552  1 -80 
 11.0049  0.950181 -80 
 10.904  0.85 -80 
 10.8744  0.821157 -80 
 10.7504  0.7 -80 
 10.7439  0.693795 -80 
 10.6134  0.568582 -80 
 10.5941  0.55 -80 
 10.4829  0.445084 -80 
 10.4353  0.4 -80 
 10.3524  0.323018 -80 
 10.274  0.25 -80 
 10.222  0.20231 -80 
 10.1104  0.1 -80 
 10.0915  0.0828917 -80 
 9.96098 -0.0348561 -80 
 9.9442 -0.05 -80 
 9.83049 -0.15091 -80 
 9.77529 -0.2 -80 
 9.7 -0.265854 -80 
 9.604 -0.35 -80 
 9.56951 -0.379742 -80 
 9.43902 -0.492411 -80 
 9.43023 -0.5 -80 
 9.30854 -0.60325 -80 
 9.25356 -0.65 -80 
 9.17805 -0.713184 -80 
 9.07453 -0.8 -80 
 9.04756 -0.822258 -80 
 8.91707 -0.929962 -80 
 8.89279 -0.95 -80 
 8.78659 -1.03626 -80 
 8.70829 -1.1 -80 
 8.6561 -1.14183 -80 
 8.52561 -1.24661 -80 
 8.52137 -1.25 -80 

 4.74146  8.62517 -80 
 4.61098  8.57367 -80 
 4.48049  8.52188 -80 
 4.42596  8.5 -80 
 4.35  8.4691 -80 
 4.21951  8.41554 -80 
 4.08902  8.36174 -80 
 4.0609  8.35 -80 
 3.95854  8.3067 -80 
 3.82805  8.25118 -80 
 3.70831  8.2 -80 
 3.69756  8.19535 -80 
 3.56707  8.13811 -80 
 3.43659  8.08071 -80 
 3.36728  8.05 -80 
 3.3061  8.02252 -80 
 3.17561  7.96346 -80 
 3.04512  7.90428 -80 
 3.0358  7.9 -80 
 2.91463  7.84368 -80 
 2.78415  7.78288 -80 
 2.714  7.75 -80 
 2.65366  7.72134 -80 
 2.52317  7.65894 -80 
 2.40007  7.6 -80 
 2.39268  7.59641 -80 
 2.2622  7.53244 -80 
 2.13171  7.46845 -80 
 2.09437  7.45 -80 
 2.00122  7.40336 -80 
 1.87073  7.33783 -80 
 1.79571  7.3 -80 
